,sdbAre_meanIQ,sdbAre_rangeIQ,sdbAre_TheilID,sdbPer_meanIQ,sdbPer_rangeIQ,sdbPer_TheilID,ssbCCo_meanIQ,ssbCCo_rangeIQ,ssbCCo_TheilID,ssbCor_meanIQ,ssbCor_rangeIQ,ssbCor_TheilID,ssbSqu_meanIQ,ssbSqu_rangeIQ,ssbSqu_TheilID,ssbERI_meanIQ,ssbERI_rangeIQ,ssbERI_TheilID,ssbElo_meanIQ,ssbElo_rangeIQ,ssbElo_TheilID,ssbCCD_meanIQ,ssbCCD_rangeIQ,ssbCCD_TheilID,stbCeA_meanIQ,stbCeA_rangeIQ,stbCeA_TheilID,mtbSWR_meanIQ,mtbSWR_rangeIQ,mtbSWR_TheilID,mtbAli_meanIQ,mtbAli_rangeIQ,mtbAli_TheilID,mtbNDi_meanIQ,mtbNDi_rangeIQ,mtbNDi_TheilID,ldbPWL_meanIQ,ldbPWL_rangeIQ,ldbPWL_TheilID,stbSAl_meanIQ,stbSAl_rangeIQ,stbSAl_TheilID,ltcBuA_meanIQ,ltcBuA_rangeIQ,ltcBuA_TheilID,sssLin_meanIQ,sssLin_rangeIQ,sssLin_TheilID,sdsSPW_meanIQ,sdsSPW_rangeIQ,sdsSPW_TheilID,stsOpe_meanIQ,stsOpe_rangeIQ,stsOpe_TheilID,svsSDe_meanIQ,svsSDe_rangeIQ,svsSDe_TheilID,sdsAre_meanIQ,sdsAre_rangeIQ,sdsAre_TheilID,sdsBAr_meanIQ,sdsBAr_rangeIQ,sdsBAr_TheilID,sisBpM_meanIQ,sisBpM_rangeIQ,sisBpM_TheilID,sdcLAL_meanIQ,sdcLAL_rangeIQ,sdcLAL_TheilID,sdcAre_meanIQ,sdcAre_rangeIQ,sdcAre_TheilID,sscERI_meanIQ,sscERI_rangeIQ,sscERI_TheilID,sicCAR_meanIQ,sicCAR_rangeIQ,sicCAR_TheilID,stcSAl_meanIQ,stcSAl_rangeIQ,stcSAl_TheilID,ldkAre_meanIQ,ldkAre_rangeIQ,ldkAre_TheilID,lskElo_meanIQ,lskElo_rangeIQ,lskElo_TheilID,likGra_meanIQ,likGra_rangeIQ,likGra_TheilID,meshedness_meanIQ,meshedness_rangeIQ,meshedness_TheilID,closeness400_meanIQ,closeness400_rangeIQ,closeness400_TheilID,closeness800_meanIQ,closeness800_rangeIQ,closeness800_TheilID,closeness1200_meanIQ,closeness1200_rangeIQ,closeness1200_TheilID,sdsLen_meanIQ,sdsLen_rangeIQ,sdsLen_TheilID,betweenness_meanIQ,betweenness_rangeIQ,betweenness_TheilID
foz,112.8068059736319,115.09425921844307,0.13798668655012464,47.69651914843643,25.60632249288922,0.0401318208323458,0.4720601068471974,0.16915665168932192,0.015101287272546456,5.112531969309463,4.0,0.05755069088730831,7.431039610048196,15.24758976215378,0.29221383785465904,0.9864687728008468,0.043315892544096964,0.0003610874302763177,0.5183210103834051,0.30229715739073304,0.039471861280495874,8.312579641898205,4.3467638482846676,0.0378862937384117,3.0758786545354067,5.843804853409583,0.3518455136105789,0.3723675080753728,0.4789219533841934,0.34774865334070715,2.661165703519313,3.0099532905100803,0.14228962538619475,4.907926023915336,6.449161737822758,0.17171776310791587,176.2357498827578,202.3427086124643,0.13216915837983748,4.320046300611904,7.322191507958946,0.2825426099773127,0.2883817427385891,0.0,4.4408920985006124e-16,0.9995002336903336,0.0034276077978153685,2.583660217957167e-06,28.250058987772608,9.729926268654706,0.030743726070826004,0.448824170816652,0.29166666666666663,0.07443822759960203,3.567076587233444,4.119520555905847,0.16216543906555886,3831.777142687787,4517.216396100579,0.13241073968766526,1854.5793168256305,1947.673752389839,0.10515261502383566,0.13527134027848348,0.13824108752544642,0.11193907343687418,29.90520435829403,19.471564013844272,0.04759916621249263,245.51884074132897,311.0152322278032,0.1659293470395832,0.9519462843699532,0.08926154626708438,0.001117619313335888,0.4700530870290561,0.24252300436897284,0.03131014698831286,4.953128803459403,8.04121772089412,0.2585419227447865,20942.281831575143,19550.435529901697,0.1424246833434423,0.6662124443789841,0.2420585739777393,0.03154958163912462,0.0031096256452962452,0.0019077151059493152,0.06553621568726055,0.20275075222684366,0.04881303984254956,0.0072615503604011485,8.014998468394741e-05,6.634117722330451e-05,0.07840243128393216,0.00013654653687726766,7.615478129467261e-05,0.032423779090617486,0.0001811223915862958,6.57242551046745e-05,0.015487750591128347,216.39536840368584,132.67207189136641,0.0683136632031389,0.014485256722517869,0.0013108794955928715,0.002512347352592986
aguda,70.7148759501077,67.32840881033333,0.10828824006212537,36.85982758535735,19.869282605731147,0.03738239864215845,0.4896982027481097,0.1517514470015343,0.01184671745862555,4.649746192893401,3.0,0.040924821890732,3.6978270085206058,6.334375312394173,0.33765655593762944,0.9830215574726036,0.06879964505044478,0.0009231980626589732,0.5806213856353897,0.2784609637796469,0.03137487765750164,6.236459374769405,3.255999035152509,0.03352895317341092,2.1011185441239357,4.778395821487614,0.44138797037487776,0.33221478642203844,0.4425348131099828,0.3675341348958801,1.710903504803348,1.6963334671360148,0.14201383238102494,2.8678183143366938,3.7572347177372682,0.17352790142622695,269.499549070186,273.8111002693653,0.126664960221115,2.040766129561304,3.6020042919470754,0.27941805605753484,0.207843137254902,0.0,0.0,0.999997595904516,3.298957449016093e-05,3.867610819984624e-10,28.995407023262405,4.840909101608013,0.0051261669871935115,0.4891711229946524,0.225,0.029394620792679182,2.329079311755469,5.133450958950707,0.3548195789780669,3673.69335537888,3230.974705401241,0.07344189299376389,1498.6416786254624,1150.0267864566724,0.1220217785776046,0.2245956231271096,0.18067251718375868,0.11140340400042716,19.6807553916091,13.264486043531859,0.053532926484570836,134.92837250880237,183.1969350962822,0.19449431367129785,0.966956085360712,0.08567383436571463,0.0009786432154519431,0.5274496078287197,0.3110543573093533,0.04069462838956836,3.2302874521827416,5.598138097308579,0.3105302369365273,6498.992547642691,3329.889851913087,0.09327237609255766,0.7254116608784541,0.38749177725367945,0.02599785424120657,0.005248096168040882,0.0039553063348849535,0.09089293600295736,0.3319859408180948,0.022042341220423367,0.0005316676636730729,0.00012361121342198048,2.0689990292030403e-05,0.003010936843785023,0.00013197122853098346,1.1495568634015726e-05,0.0006755559110357752,0.00012391593361120546,7.967930986943883e-06,0.0003757623540588168,104.79394888594074,14.525099449410204,0.05544128012238228,0.0032901178496856165,0.0004276327431018412,0.0070391018259301765
esposende,161.66619104605462,150.54662304305788,0.12280509924672495,55.7557126491333,28.88042879517673,0.047280508414793414,0.5029936415652142,0.16137884529094548,0.016721956967057472,5.761904761904763,6.0,0.08069374055890427,8.758594515240057,14.93456779516228,0.2459215949402725,0.9616227720254416,0.12840156096065425,0.0024971692699328647,0.651865322690814,0.2951495634056696,0.027821483288746483,8.872745005000018,4.190278091453695,0.029131050931326636,4.989023683602703,7.862659335789509,0.24738703691972974,0.05492511661675626,0.28714546679899483,0.9473640426845598,5.636459153578778,4.2991562195497215,0.07833012692009123,8.153521530434336,6.4112602422757465,0.09900188164073044,175.5431067098817,264.0947110769036,0.266159208716146,5.294757262685227,4.9838753703533945,0.13943931311975352,0.5308641975308642,0.0,0.0,0.9935719164978944,0.012570172208454132,9.903608879204803e-05,33.7458191561634,3.689425443060177,0.00922381838354538,0.4951209992193599,0.375,0.061792029924929374,3.0344185593131514,2.953576809514038,0.18059907119036708,7994.399793287706,7926.7853578951635,0.08993356578298674,2435.0715139774743,1434.248238817407,0.09761703564929662,0.08708728879330782,0.060735681658550665,0.10179732389566364,39.56252403296028,17.283543787834233,0.03156358439441375,581.8258124861537,613.9215950416183,0.13481380101390358,0.9591011327682316,0.08150208857521446,0.0011339512500726776,0.3128102358520581,0.230323119710498,0.06026922414924884,7.888400081258324,9.722165060374664,0.15548360173032386,15935.218334488372,4094.749935059303,0.030357732582116943,0.7709534885910394,0.22662138957193634,0.015343038718665884,0.0014247391249798602,0.0006154911444323202,0.033209182926341146,0.14232352824975292,0.04391780363019425,0.012127767919001395,0.00025946806011736595,0.0001770013455866381,0.04757138245950122,0.000479452396176464,4.2330967807108695e-05,0.0015560266888716922,0.0005909718358217294,2.535090176012029e-05,0.0005433199006148018,345.37549672920835,142.70432564267057,0.05265446914941952,0.05554906542056075,0.026606308411214957,0.2554162514580428
espinho,80.8623538330946,51.954043565794976,0.05372399437660712,39.04694295471396,14.899224990799908,0.017180334193842215,0.5051434275698531,0.14468613898521232,0.010112013439707615,4.496221662468514,2.0,0.03667835000284506,2.967381884665875,5.654241017877357,0.41376876677586816,0.9927614566640794,0.033194209449337715,0.0002622564344390084,0.5799994313282778,0.31146113802021624,0.03256105925339898,6.763359476754682,2.6774796848426803,0.017626356019233867,0.9463361566932728,2.015511626420062,0.4500537559757677,0.5183004486649516,0.3285164946822107,0.045109008660656987,1.0114945077268165,1.0170206308815253,0.1251068784570332,3.071998871277048,4.2797918083057285,0.3337768379939626,252.73750484754711,81.62869731150094,0.028992597530868313,1.0137531098724777,1.5383288605230376,0.4807488124743206,0.10515463917525772,0.0,0.0,0.9999999999242352,5.957134563416844e-09,1.6422689336372868e-11,30.84384410540328,3.015553089732649,0.003125734129036687,0.6207692307692309,0.25,0.014991079027192404,0.9493861822722276,1.6883255522839942,0.6757401392161484,1687.2136798046126,1290.2776888583999,0.09865752371926108,863.6172289244226,725.0691703879651,0.11034119086060706,0.1368307243621046,0.09558720820071513,0.07545106341764388,21.789165002691945,8.696909461784943,0.02066493661470331,154.12613198915741,139.1896495985124,0.09094342133907543,0.9676725941272394,0.07033093693606474,0.0006809502724168852,0.567750922986489,0.24898118267833294,0.024719907821340783,1.3871466603450255,3.3821260790030836,0.6932237598662528,4034.141064516343,3684.400184677533,0.08887619932750172,0.5387610229087997,0.3820982119186893,0.06819182436252354,0.00566671488520487,0.0023893541166161397,0.026157841698827428,0.2385263092315752,0.051692751692751726,0.00738511382616405,0.00013328497617123765,3.0032637718141728e-05,0.005777514846603968,0.00018728066713719695,7.363593812989489e-05,0.01752463938607279,0.0002523463920071061,0.00013180234527955965,0.02624097637713372,89.77884462886621,46.79631716864984,0.030391231035167738,0.006185419491761558,0.002701642115431055,0.019893088380231398
povoa,117.372508335845,78.29596220107875,0.06905768579100624,49.04434786774822,13.5310729846192,0.012599317015188584,0.4353000637298983,0.16807431498906697,0.016314528048793967,4.501483679525221,2.0,0.029362546429851564,4.469259339472166,7.886475855428147,0.309121288069569,0.9909466325616778,0.026559682740243677,0.00018707818625269168,0.4488938209518515,0.2747716288433872,0.042807172945161766,9.105539093913592,2.6551005337017743,0.01171828573434827,2.505948946570556,6.058809459491173,0.4260744533194461,0.5227307567034492,0.4290953436634341,0.23737617675329364,2.2927208916884823,2.2305545388963037,0.1142096615910061,4.717331460204548,3.891781583948368,0.07604243903740546,495.3663093986222,510.6956337093369,0.2739935267066824,2.8743703652787977,5.255595835276693,0.381291640841276,0.16539440203562344,0.0,-1.1102230246251515e-16,0.9999997788605636,8.757121682245739e-07,2.7659254921879413e-09,24.041418358420906,19.43108566976322,0.09872572270422762,0.3906354795439302,0.3214285714285714,0.06603075747954312,2.233650604225518,2.852612870970221,0.2047428149370277,6074.218724853512,6433.617241634257,0.19225300503070786,3100.785338530364,3498.134328262785,0.20756811053771185,0.16890936777606544,0.1818443886307716,0.11075964258928507,29.147853671141682,9.81671184037615,0.014158377135087994,223.02929387342343,187.75787008678031,0.0904156619834914,0.9522026676411576,0.0884938736841534,0.0010709101071537963,0.5642126866684416,0.1990713675316595,0.02062806159016866,4.159317158825414,7.6039315189563155,0.3103969472114282,15718.942141098758,13460.580704736001,0.08197922083911235,0.4789278810073522,0.3233982364799037,0.08238876126101267,0.0039784428582012405,0.001820107738361888,0.02326653519365313,0.22022067204951154,0.01270520253338539,0.00030074016746879043,6.785735979784798e-05,8.801515061640622e-06,0.002907219573951846,0.00014012379081615141,2.2255916258705514e-05,0.0053769120030596855,0.0002039832575856413,4.002259014524606e-05,0.004713400689009859,204.8158500084267,82.39460974268445,0.03549266928761303,0.02993295902635465,0.00037676658248113337,1.9990536719246416e-05
vila_do_conde,73.17612685828654,47.61159450286523,0.08133754066456614,38.78203644607482,14.562473593398948,0.025216101858847168,0.4490542525021062,0.1778869525904564,0.015684759827958684,4.0,0.0,0.011906044709175771,1.9992288769213893,2.4597305729534757,0.3865185323390044,0.9970416739055,0.008351501122330185,2.9835304429549035e-05,0.4524160716425205,0.2943372833257316,0.04430335578933288,7.318550996328634,3.2172494888788883,0.03000513407150924,2.416426318666792,6.275478223924272,0.4714139713993154,0.16808918038915746,0.4418960712216718,0.5175754597720407,0.9001873360452841,0.7199110982698527,0.09026102806264426,3.8708156330407855,4.690171661302154,0.17496202149047574,159.70466061509907,183.934794203593,0.1969459615605944,0.8951997458256663,1.3397186038590814,0.2337436390521567,0.28750000000000003,0.0,-2.220446049250326e-16,0.9999959084405524,1.8009004944530282e-05,5.330075673246896e-11,30.594774179330354,6.197716582672868,0.01727646261493811,0.6444009742439062,0.1428571428571429,0.00980656617997434,1.3445771268516822,0.947157695075375,0.22177424667553705,4615.768576214419,3845.646489839375,0.06706717920463284,1941.6082064986206,745.6802042006365,0.08388985812008967,0.1710471173405098,0.05300083851485987,0.10822314613571243,24.92947938133749,11.360462198227525,0.029639492590515105,163.54891733245717,141.1773981108576,0.10664488042042718,0.9475654853077444,0.10195411869051517,0.0014214076243093475,0.432990367612115,0.2789216584796857,0.0478351042727266,2.329898589552536,5.522838353464604,0.4553892893400368,11984.149556571665,4142.816888862115,0.04002057041398663,0.3912714332905085,0.11364759288620667,0.04796616750161517,0.004279131395567325,0.002693405309679701,0.04560664499710058,0.18282754633301487,0.013181715995063348,0.0009125369748566457,6.40876005647135e-05,2.15003250880594e-05,0.014689055787785402,0.00013782664985029363,1.918109498687002e-05,0.002828365633345704,0.0001994966088831767,2.6590476773990626e-05,0.0018748623135998953,228.8679674773381,192.86853029069687,0.07770072764798573,0.01572303443160525,0.0001616177389131817,0.00013904147193828786
vila_praia,93.56867121097204,88.511755717886,0.09505623002906967,42.03814216032217,18.77750316168011,0.023695593382182512,0.5061395968103368,0.1258684771511378,0.007525933121744353,4.713333333333333,2.0,0.035471942982166126,10.198806921127241,15.876410917824499,0.2611102863228134,0.9853290524367082,0.05358191611151508,0.0004763309999835293,0.6248621020342624,0.3294226719086096,0.027824125941296005,7.068889917336754,2.8651039968395513,0.02137511201550325,2.800626553138811,6.2970963673486455,0.4222294497578294,0.19943261577824636,0.5347436900039181,0.4708517371313895,3.718553461539563,5.0467731313812925,0.17027287128418256,2.701376196517884,2.7646079764520834,0.12187379340310332,245.8340540401503,284.48482336627114,0.13660890642434775,5.341712472540771,10.753801894322024,0.33847931948413945,0.2487309644670051,0.0,-1.1102230246251583e-16,0.9990187390680976,0.003909304009403147,0.0013891275613039005,28.733040440188308,7.157648150390344,0.034491912321294664,0.4896798584298584,0.3666666666666667,0.11491947674025678,3.889119170152697,3.4284879011061453,0.1614000525053959,3186.1118656436897,2787.495269136616,0.08855779458209614,1603.4224392126232,1532.576681997227,0.1109350552216364,0.14017515582700568,0.1129705953076298,0.08099683167657827,23.331220544982,12.017326590492498,0.02973210078034345,183.0277668667597,192.84580321485828,0.10992697386447826,0.9588237783643364,0.07318401755108139,0.000633258064614954,0.5477783487494918,0.2492275079700604,0.023897371749641308,6.857466197030267,13.011212286328087,0.30164911023410856,4296.5699061567875,3275.9008992044282,0.2048402478145192,0.5303139735222192,0.4324694083230537,0.08650528071376894,0.004134127576658241,0.002341005934849639,0.02600158231108043,0.20366696866908726,0.04029159143648808,0.0059663165000281605,0.00025581093786481416,1.2595501531088968e-05,0.002332475658291509,0.000422834574567059,3.552986106452466e-05,0.0014669592489483109,0.0005319551574288323,5.045824559886576e-05,0.0013219738667394755,196.6894907459057,206.02628383671558,0.13719341039173985,0.0030101424858980565,0.009180757241953195,1.0058674539212722
costa_nova,89.93189534251205,77.74731400787513,0.10002612098441237,41.772784334156384,20.387926095978308,0.0300319064585328,0.4873041047531678,0.18533500292228344,0.016584099103073468,4.444897959183673,2.0,0.02985558313584716,2.54602923062701,2.508918452515603,0.1544251334600968,0.9935834733242755,0.03099373502188485,0.00028332976912383886,0.5507732423537594,0.33012118947006874,0.04039141516189762,7.327353682050937,3.5500722237109685,0.02908142780658816,1.76568835623027,3.8215695641097223,0.4639851333014352,0.15888848052257826,0.5267045249394681,0.6041144997749084,1.6078040330825856,1.5934143434829269,0.10157529345404627,4.1032500949122985,4.125551611910549,0.12328282684587875,143.11908446432872,202.70841262600453,0.24369297510611834,1.920365651274538,2.8096925498158027,0.23885218792673665,0.3732142857142857,0.0,0.0,0.9999214939052848,0.0005281912175184589,6.964451993305861e-07,25.464756927035737,16.763344502670563,0.059079991127313575,0.5451569264069264,0.33333333333333337,0.06278023112971437,2.253441784135728,4.229210834549103,0.28929691831849663,5182.61133247293,3894.751237367628,0.07664859113561602,1865.1298511467521,1548.4958164343482,0.09571355565020734,0.1781205752912321,0.20801528818685613,0.13560063488351534,26.147105508977145,16.053389077157256,0.05185083557974562,214.77079257447926,252.08088570562583,0.14921311091460662,0.9605573856031824,0.09497217701183946,0.001235821774618251,0.4267882012616882,0.26663431585690545,0.04320015619673895,2.5445671443242937,5.192183583047527,0.3730812756644615,10032.383304554129,5025.982989832721,0.09437577837347998,0.44656717436973997,0.091860632823485,0.03009966487979708,0.004299572017677379,0.001385020391035305,0.021694900119237796,0.2291880697061721,0.02417295562620161,0.0045645087332409975,0.00016637468909819103,6.415722999443775e-05,0.017013285344510982,0.00021667616224405143,3.30234287740895e-05,0.002561210764100941,0.00021983640351795736,2.2276568567400085e-05,0.0019932494592538354,164.23016857539352,62.99471031422666,0.09073412099850968,0.061536583992039214,0.05059480163214603,0.08324794052303892
praia_mira,97.60071449313456,99.09356985335705,0.11818164613927355,41.82673920417066,22.691253018191613,0.034518267073300066,0.5332277674679077,0.13673421123441565,0.008138919459450623,4.498812351543943,2.0,0.031159584690366983,2.557173444911192,3.472955949006104,0.3310775592579439,0.9937576256189408,0.02947315023937025,0.0003300789047959208,0.6440599900902267,0.3080383023927891,0.02599193795284969,7.148215913433642,3.6871334904774846,0.03350068056352845,2.0503869276044187,4.9135031108623535,0.4786731213163855,0.15652481596916204,0.4654008872047246,0.5442078989546761,2.0146390365416784,2.6669929417297347,0.1946111035846154,3.4137603622965416,3.790292426473964,0.141173695309237,187.54435566299796,211.7468453577964,0.2571995084621821,3.5137610142984403,7.581120835343553,0.39415332505335454,0.3205645161290321,0.0,4.440892098500683e-16,0.9955978785701888,0.02459408490304682,0.0011286356411900052,22.17135677717821,18.446312745259608,0.0764824152117592,0.4486707566462167,0.325,0.05088730695836413,3.6527427132519295,4.174241506676957,0.1562036383905361,4700.221138791946,4101.197904110628,0.07436319249741248,2228.6804973794965,1698.0600214134631,0.07585503329022833,0.20325539077613491,0.15158318909404908,0.0862029812167443,22.40309240724916,13.478704362424436,0.043870392957475815,184.676535613628,206.3684478257355,0.1587981991899313,0.9715534570800356,0.08018221775670598,0.0007998366933796718,0.5351996437107438,0.2412209989306029,0.02548060982842373,4.538707769993134,9.644046970175747,0.40157418186407184,9489.450929277378,5667.148959493829,0.2222689199445,0.5287767257738473,0.1992286729323774,0.06756737089169187,0.0041493302318394995,0.004243422317124537,0.09806933427047056,0.22030657072147752,0.03255191516179479,0.0032747970485287018,0.0005188760120799497,0.00015734168053562741,0.011956305288692105,0.0006554208818492316,0.0001570592952718009,0.012102086781524685,0.000663065532567197,0.0001158969565896792,0.005319294736157691,108.109580130271,79.57213253119956,0.05050604384695448,0.017162674273887932,0.015382248884786957,0.12920831579390635
palheiros1,150.87363687750783,96.0500809021134,0.05939299936781393,50.73387679326663,15.612775521126599,0.014506892841083871,0.5807161378212015,0.06675634547774223,0.0033115711925524524,4.354838709677419,2.0,0.03706657101251865,2.074296534305118,2.015192316619161,0.11738403475704133,0.9968932894497564,0.010302162825307493,5.05262519787214e-05,0.7420065528492543,0.2541586626661333,0.01801257375517187,8.577566917130033,2.984304343586315,0.016058415490051603,2.6185864058928963,4.95571503333564,0.3296160252549244,0.01116369706315198,0.13336061669516566,1.619552107019684,1.3806444926417614,1.2422989661923498,0.0957563192775116,7.168640606002473,4.647209686424908,0.06267820545764723,65.81029331030413,32.51435537738302,0.026751945118382917,1.7066811867904874,3.261126045107098,0.2984875069014631,0.4659090909090909,0.0,0.0,0.9273437657013548,0.245842949294374,0.007426377482856549,20.87346687840136,24.575769216773143,0.08319918708712426,0.5125,0.29999999999999993,0.027187200371765054,5.219690158814559,5.7872316055980715,0.16215277443276038,4565.985833037982,4809.089766589939,0.12411010683572753,1465.9209981600816,1459.0175291529965,0.11645927508503427,0.09186825287263824,0.07324271932245457,0.07872753118434525,34.821076986531025,11.702855029422665,0.014518717846957366,484.87773060185026,351.48743700212714,0.059815003916698764,0.9776915936621758,0.08014983955396793,0.0007599030715965942,0.32050614710880604,0.14094983579098042,0.02309708735999355,3.867125813002017,4.9510412811121896,0.26204676797517,8052.195593098546,5461.437416704587,0.09154836835763616,0.4361601701293594,0.1033759707306523,0.007334253616926664,0.002092672013196837,0.0008253397853551272,0.018633484305467143,0.10640333733341427,0.01683650863978732,0.00292331745375957,0.001613051758414164,0.00033718047290147543,0.0041147571300575465,0.0021932192780277538,0.00015016702596730132,0.0004524276465007964,0.002148335171382553,0.00011939029551749548,0.00029311359140461133,134.01102015489948,61.364625136472114,0.026443814365991733,0.08754090696587191,0.04885460495558673,0.03945294349050882
palheiros2,75.57372561554057,44.425676251539954,0.03840043915081781,35.94874241670414,11.388920122298465,0.011349098606938012,0.5647487860867445,0.08658259389755019,0.003128185634263409,4.0,0.0,0.011818653357752056,2.5399467307562578,2.3617783249297832,0.19827539263456176,0.9992031707747168,0.0034529873043698256,1.719673793545187e-05,0.6638416075291932,0.24565152839114926,0.015740345282760183,6.32290976445288,1.8664677457907564,0.011624201595289669,1.020465787598858,2.5096492455284647,0.4577518474232534,0.17157498050348316,0.5350588271740371,0.6145209499656181,1.4101098282608262,1.0429726010404168,0.052880293517793546,3.5577302483649875,3.206061037237795,0.09985175528634303,182.5681635430767,189.77346646107415,0.1429168499124468,2.102757562091348,3.654829242167168,0.37013730495949865,0.4659090909090909,0.0,-1.1102230246251556e-16,0.9956750440566188,0.01409436081656601,0.002736329932404032,28.73651395505291,2.1879065826119866,0.0019278166036225614,0.6306451612903227,0.2,0.0999927819949703,2.0246106106305466,1.8584512255168213,0.1133995317698589,2287.631842169014,1462.1780658333835,0.05655813230564032,1103.907443105999,662.6623741510949,0.07663429855403578,0.13529183573763798,0.07344915323929675,0.05383530131802381,21.01443457742671,8.652444437242952,0.016847061721077555,159.76226729953981,101.53662204196036,0.04960946483468951,0.9640412418474096,0.08104174010966236,0.0008064591634874193,0.4835941457579091,0.21482392438069065,0.02373293624503625,3.3457980591361083,6.438564461398741,0.2797227780481033,4147.613026956319,954.2888026655542,0.008465212182120483,0.4377230054452937,0.0742411239209203,0.008223026448522838,0.005804628002447604,0.0008485057402199222,0.002619718150373327,0.11322964696078924,0.019736991786681233,0.003512172876592541,0.0016523471884325113,0.0004451109819475457,0.0075400233179495485,0.0020835702009079702,0.0003568457751307733,0.0023448374732359355,0.002076571452994635,0.0003176900104448253,0.00182971158242648,100.0236714206588,5.797297866704169,0.0004047347299283607,0.08429172510518937,0.06100981767180926,0.06782422127892636
